contact_name,device_name,rssi,location,duration,date,contact
G8341,SM-G991B,0,"55.72, 13.22",58 sec,2022-05-09 03:04:00,[B@3339484
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",1:50 min,2022-05-10 10:20:00,[B@3344c9b
Lenovo TB-X505F,G8341,-69,"55.71, 13.23",58 sec,2022-05-11 05:29:00,[B@338075f
G8341,SM-G991B,-76,"- , -",22 sec,2022-05-09 12:10:00,[B@339d638
SM-G991B,SM-G780F,0,"55.72, 13.21",13 sec,2022-05-09 10:06:00,[B@33d5d51
SM-G991B,G8341,-70,"55.71, 13.23",1:07 min,2022-05-09 01:12:00,[B@344eafa
Lenovo TB-X505F,SM-G780F,0,"- , -",13 sec,2022-05-09 03:47:00,[B@34881db
Lenovo TB-X505F,G8341,-70,"55.71, 13.23",25 sec,2022-05-11 11:03:00,[B@34b5e33
Lenovo TB-X505F,SM-G991B,0,"55.72, 13.21",26 sec,2022-05-12 07:44:00,[B@354562f
Nokia 7.2,SM-G780F,0,"55.72, 13.21",25:59 min,2022-05-09 09:38:00,[B@359cec9
Nokia 7.2RKQ1.210607.001,SM-G780F,0,"55.72, 13.22",1:08 min,2022-05-12 02:05:00,[B@364eec
SM-G780F,SM-G991B,0,"55.72, 13.22",15 sec,2022-05-09 09:47:00,[B@3691cbb
SM-G780F,SM-G991B,0,"- , -",57 sec,2022-05-09 11:22:00,[B@369f1de
SM-G780FSP1A.210812.016,SM-A700H,-80,"- , -",13 sec,2022-05-10 12:58:00,[B@36f1f05
Nokia 7.2RKQ1.210607.001,SM-G991B,-60,"- , -",41 sec,2022-05-11 03:33:00,[B@37703f0
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",1:59 min,2022-05-10 09:27:00,[B@37856ef
SM-G991B,SM-A700H,-63,"- , -",42 sec,2022-05-09 04:11:00,[B@384ecd0
SM-A515F,SM-G991B,0,"55.72, 13.21",11:33 min,2022-05-12 10:23:00,[B@38928e
SM-G780F,SM-G991B,0,"- , -",13 sec,2022-05-09 11:57:00,[B@38a0988
Lenovo TB-X505F,SM-G991B,0,"55.72, 13.21",25 sec,2022-05-12 07:46:00,[B@390a62b
SM-G991B,Lenovo TB-X505F,-53,"- , -",15 sec,2022-05-09 09:42:00,[B@390ec48
Lenovo TB-X505F,SM-G991B,0,"- , -",13 sec,2022-05-09 03:38:00,[B@391d4df
G834147.2.A.11.228,SM-G780F,0,"- , -",1:26 min,2022-05-12 10:43:00,[B@392eff3
Lenovo TB-X505F,SM-G991B,0,"55.72, 13.22",4:15 min,2022-05-11 09:21:00,[B@396838
SM-G991B,SM-G780F,0,"55.72, 13.21",3:08 min,2022-05-09 09:33:00,[B@39b1179
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",3:07 min,2022-05-10 11:22:00,[B@39c8c1b
G834147.2.A.11.228,SM-G991B,0,"- , -",5:12 min,2022-05-11 12:13:00,[B@3a3631f
